--------------------------------------------------
Data   Type:		0
Resp.  Stat:		0
Sequence No:		1
Packet Data:
large.txt


CRC result: fa12, fa12

CRC result: 33aa, 33aa

CRC result: 4a2c, 4a2c

CRC result: 8bb7, 8bb7

CRC result: ecbf, ecbf

CRC result: 5112, 5112

CRC result: 2124, 2124

CRC result: 33bd, 33bd

CRC result: 7104, 7104

CRC result: f30e, f30e

CRC result: c823, c823

CRC result: d414, d414

CRC result: e997, e997

CRC result: 5809, 5809

CRC result: 4a7d, 4a7d

CRC result: 4f4a, 4f4a

CRC result: c1dd, c1dd

CRC result: d052, d052

CRC result: 16a9, 16a9

CRC result: 9200, 9200

CRC result: 64fa, 64fa

CRC result: 1626, 1626

CRC result: f00e, f00e

CRC result: 77d7, 77d7

CRC result: a4c1, a4c1

CRC result: f844, f844

CRC result: ce78, ce78

CRC result: 5c3, 5c3

CRC result: bf1c, bf1c

CRC result: 8614, 8614

CRC result: 70d, 70d

CRC result: a095, a095

CRC result: 39da, 39da

CRC result: 1e9e, 1e9e

CRC result: fe6a, fe6a

CRC result: dbf8, dbf8

CRC result: a3e6, a3e6

CRC result: fb3d, fb3d

CRC result: 8e39, 8e39

CRC result: b277, b277

CRC result: d83f, d83f

CRC result: 9ee7, 9ee7

CRC result: f400, f400

CRC result: 697e, 697e

CRC result: 9696, 9696

CRC result: e873, e873

CRC result: 42ee, 42ee

CRC result: 1d77, 1d77

CRC result: 5936, 5936

CRC result: d548, d548

CRC result: 3c, 3c

CRC result: e55b, e55b

CRC result: 9783, 9783

CRC result: a2d2, a2d2

CRC result: 3216, 3216

CRC result: 9077, 9077

CRC result: 5b16, 5b16

CRC result: c5b6, c5b6

CRC result: 8348, 8348

CRC result: 157d, 157d

CRC result: 16f0, 16f0

CRC result: 3986, 3986

CRC result: 7af3, 7af3

CRC result: 2ae0, 2ae0

CRC result: dcbd, dcbd

CRC result: 6f2c, 6f2c

CRC result: 1720, 1720

CRC result: 322e, 322e

CRC result: 2b99, 2b99

CRC result: 10ee, 10ee

CRC result: c25e, c25e

CRC result: a910, a910

CRC result: 444f, 444f

CRC result: fa9e, fa9e

CRC result: 5403, 5403

CRC result: e50f, e50f

CRC result: 3d00, 3d00

CRC result: 59b6, 59b6

CRC result: 2f47, 2f47

CRC result: ecda, ecda

CRC result: cd9c, cd9c

CRC result: 81f7, 81f7

CRC result: dedc, dedc

CRC result: 2414, 2414

CRC result: 58f9, 58f9

CRC result: 50f, 50f

CRC result: 974c, 974c

CRC result: 5f5a, 5f5a

CRC result: 55a3, 55a3

CRC result: aec4, aec4

CRC result: 292b, 292b

CRC result: 9aec, 9aec

CRC result: 3637, 3637

CRC result: 8ccc, 8ccc

CRC result: ff85, ff85

CRC result: f74f, f74f

CRC result: 95aa, 95aa

CRC result: 7c1e, 7c1e

CRC result: 7f1b, 7f1b

CRC result: a2af, a2af

CRC result: 1db6, 1db6

CRC result: 22ee, 22ee

CRC result: eab8, eab8

CRC result: beab, beab

CRC result: 8389, 8389

CRC result: 70a4, 70a4

CRC result: 8cc7, 8cc7

CRC result: 39c, 39c

CRC result: 7de6, 7de6

CRC result: 9872, 9872

CRC result: 7b27, 7b27

CRC result: 8969, 8969

CRC result: f146, f146

CRC result: 30ac, 30ac

CRC result: 9955, 9955

CRC result: d71, d71

CRC result: db9d, db9d

CRC result: 739f, 739f

CRC result: 247a, 247a

CRC result: 5315, 5315

CRC result: 9d09, 9d09

CRC result: 23d8, 23d8

CRC result: f835, f835

CRC result: 9427, 9427

CRC result: ffb7, ffb7

CRC result: d5db, d5db

CRC result: 8eea, 8eea

CRC result: c302, c302

CRC result: fb8e, fb8e

CRC result: 2b23, 2b23

CRC result: a03c, a03c

CRC result: bde3, bde3

CRC result: 4880, 4880

CRC result: 95cb, 95cb

CRC result: 104, 104

CRC result: 9bcd, 9bcd

CRC result: 958d, 958d

CRC result: 117a, 117a

CRC result: 4746, 4746

CRC result: 73d, 73d

CRC result: 1fc7, 1fc7

CRC result: 2ff7, 2ff7

CRC result: c711, c711

CRC result: a4cf, a4cf

CRC result: 9618, 9618

CRC result: da5b, da5b

CRC result: 97ea, 97ea

CRC result: 3fa, 3fa

CRC result: 74c5, 74c5

CRC result: 8dbb, 8dbb

CRC result: a384, a384

CRC result: be26, be26

CRC result: 8f65, 8f65

CRC result: e5b0, e5b0

CRC result: 9425, 9425

CRC result: 1d2, 1d2

CRC result: 753b, 753b

CRC result: a69b, a69b

CRC result: bd09, bd09

CRC result: 856a, 856a

CRC result: fa3c, fa3c

CRC result: 2454, 2454

CRC result: 34e3, 34e3

CRC result: e908, e908

CRC result: 29e3, 29e3

CRC result: 1ef3, 1ef3

CRC result: 9e48, 9e48

CRC result: 7f05, 7f05

CRC result: 6210, 6210

CRC result: 4f46, 4f46

CRC result: e249, e249

CRC result: e9d8, e9d8

CRC result: 4114, 4114

CRC result: 3d3b, 3d3b

CRC result: f51d, f51d

CRC result: 39e9, 39e9

CRC result: 122, 122

CRC result: 2ea, 2ea

CRC result: 141f, 141f

CRC result: e898, e898

CRC result: 37d2, 37d2

CRC result: 8c5c, 8c5c

CRC result: ecfd, ecfd

CRC result: 9211, 9211

CRC result: a16e, a16e

CRC result: 8cea, 8cea

CRC result: de79, de79

CRC result: 284f, 284f

CRC result: d672, d672

CRC result: 1679, 1679

CRC result: 6071, 6071

CRC result: af00, af00

CRC result: 3927, 3927

CRC result: d4cf, d4cf

CRC result: 7b0e, 7b0e

CRC result: 63d1, 63d1

CRC result: 2b13, 2b13

CRC result: ce42, ce42

CRC result: 9eea, 9eea

CRC result: aba7, aba7

CRC result: a217, a217

CRC result: 8590, 8590

CRC result: c26e, c26e

CRC result: 8832, 8832

CRC result: 9edf, 9edf

CRC result: 603c, 603c

CRC result: 555d, 555d

CRC result: d900, d900

CRC result: d9b2, d9b2

CRC result: 87a2, 87a2

CRC result: 33a1, 33a1

CRC result: 7cf7, 7cf7

CRC result: c20d, c20d

CRC result: 1ecd, 1ecd

CRC result: 310c, 310c

CRC result: fd95, fd95

CRC result: a5c5, a5c5
